Year,Month,Quarter,Season,Season_Num,Is_Holiday_Season,Is_Peak_Month,Is_Quarter_End,Total_Sales,Lag_1,Lag_2,Lag_3,Lag_12,Rolling_3,Rolling_6,Rolling_12,Month_Growth_Rate
2015,1,1,Winter,1,0,0,0,18174.08,69545.62,78628.72,31453.39,14236.9,59875.91,53876.82,40353.96,-73.87
2015,2,1,Winter,1,0,0,0,11951.41,18174.08,69545.62,78628.72,4519.89,55449.47,51248.1,40682.06,-34.24
2015,3,1,Spring,2,0,1,1,38726.25,11951.41,18174.08,69545.62,55691.01,33223.7,48588.43,41301.35,224.03
2015,4,2,Spring,2,0,1,0,34195.21,38726.25,11951.41,18174.08,28295.34,22950.58,41413.24,39887.62,-11.7
2015,5,2,Spring,2,0,0,0,30131.69,34195.21,38726.25,11951.41,23648.29,28290.96,41870.22,40379.28,-11.88
2015,6,2,Summer,3,0,0,1,24797.29,30131.69,34195.21,38726.25,34595.13,34351.05,33787.38,40919.56,-17.7
2015,7,3,Summer,3,0,0,0,28765.32,24797.29,30131.69,34195.21,33946.39,29708.06,26329.32,40103.07,16.0
2015,8,3,Summer,3,0,0,0,36898.33,28765.32,24797.29,30131.69,27909.47,27898.1,28094.53,39671.32,28.27
2015,9,3,Fall,4,0,1,1,64595.92,36898.33,28765.32,24797.29,81777.35,30153.65,32252.35,40420.39,75.06
2015,10,4,Fall,4,0,0,0,31404.92,64595.92,36898.33,28765.32,31453.39,43419.86,36563.96,38988.6,-51.38
2015,11,4,Fall,4,1,0,0,75972.56,31404.92,64595.92,36898.33,78628.72,44299.72,36098.91,38984.56,141.91
2015,12,4,Winter,1,1,0,1,74919.52,75972.56,31404.92,64595.92,69545.62,57324.47,43739.06,38763.22,-1.39
2016,1,1,Winter,1,0,0,0,18542.49,74919.52,75972.56,31404.92,18174.08,60765.67,52092.76,39211.04,-75.25
2016,2,1,Winter,1,0,0,0,22978.82,18542.49,74919.52,75972.56,11951.41,56478.19,50388.96,39241.74,23.93
2016,3,1,Spring,2,0,1,1,51715.88,22978.82,18542.49,74919.52,38726.25,38813.61,48069.04,40160.69,125.06
2016,4,2,Spring,2,0,1,0,38750.04,51715.88,22978.82,18542.49,34195.21,31079.06,45922.36,41243.16,-25.07
2016,5,2,Spring,2,0,0,0,56987.73,38750.04,51715.88,22978.82,30131.69,37814.91,47146.55,41622.73,47.06
2016,6,2,Summer,3,0,0,1,40344.53,56987.73,38750.04,51715.88,24797.29,49151.22,43982.41,43860.73,-29.2
2016,7,3,Summer,3,0,0,0,39261.96,40344.53,56987.73,38750.04,28765.32,45360.77,38219.92,45156.34,-2.68
2016,8,3,Summer,3,0,0,0,31115.37,39261.96,40344.53,56987.73,36898.33,45531.41,41673.16,46031.06,-20.75
2016,9,3,Fall,4,0,1,1,73410.02,31115.37,39261.96,40344.53,64595.92,36907.29,43029.25,45549.14,135.93
2016,10,4,Fall,4,0,0,0,59687.74,73410.02,31115.37,39261.96,31404.92,47929.12,46644.94,46283.65,-18.69
2016,11,4,Fall,4,1,0,0,79411.97,59687.74,73410.02,31115.37,75972.56,54737.71,50134.56,48640.56,33.05
2016,12,4,Winter,1,1,0,1,96999.04,79411.97,59687.74,73410.02,74919.52,70836.58,53871.93,48927.17,22.15
2017,1,1,Winter,1,0,0,0,43971.37,96999.04,79411.97,59687.74,18542.49,78699.58,63314.35,50767.13,-54.67
2017,2,1,Winter,1,0,0,0,20301.13,43971.37,96999.04,79411.97,22978.82,73460.79,64099.25,52886.21,-53.83
2017,3,1,Spring,2,0,1,1,58872.35,20301.13,43971.37,96999.04,51715.88,53757.18,62296.88,52663.06,190.0
2017,4,2,Spring,2,0,1,0,36521.54,58872.35,20301.13,43971.37,38750.04,41048.28,59873.93,53259.44,-37.96
2017,5,2,Spring,2,0,0,0,44261.11,36521.54,58872.35,20301.13,56987.73,38565.01,56012.9,53073.73,21.19
2017,6,2,Summer,3,0,0,1,52981.73,44261.11,36521.54,58872.35,40344.53,46551.67,50154.42,52013.18,19.7
2017,7,3,Summer,3,0,0,0,45264.42,52981.73,44261.11,36521.54,39261.96,44588.13,42818.21,53066.28,-14.57
2017,8,3,Summer,3,0,0,0,63120.89,45264.42,52981.73,44261.11,31115.37,47502.42,43033.71,53566.48,39.45
2017,9,3,Fall,4,0,1,1,87866.65,63120.89,45264.42,52981.73,73410.02,53789.01,50170.34,56233.61,39.2
2017,10,4,Fall,4,0,0,0,77776.92,87866.65,63120.89,45264.42,59687.74,65417.32,55002.72,57438.33,-11.48
2017,11,4,Fall,4,1,0,0,118447.82,77776.92,87866.65,63120.89,79411.97,76254.82,61878.62,58945.76,52.29
2017,12,4,Winter,1,1,0,1,83829.32,118447.82,77776.92,87866.65,96999.04,94697.13,74243.07,62198.75,-29.23
